Code,Disease,Symptoms
247,Heart block,"['Sharp chest pain', 'Shortness of breath', 'Dizziness', 'Fainting', 'Weakness', 'Palpitations', 'Chest tightness', 'Peripheral edema', 'Decreased heart rate', 'Weight gain', 'Increased heart rate', 'Irregular heartbeat']"
248,Colonic polyp,"['Rectal bleeding', 'Blood in stool', 'Constipation', 'Sharp abdominal pain', 'Diarrhea', 'Upper abdominal pain', 'Pain of the anus', 'Regurgitation', 'Flatulence', 'Changes in stool appearance', 'Discharge in stools']"
249,Hypospadias,"['Retention of urine', 'Recent weight loss', 'Unusual color or odor to urine', 'Skin growth', 'Suprapubic pain', 'Penis pain', 'Jaundice']"
250,Hypomagnesemia ,"['Dizziness', 'Sharp abdominal pain', 'Leg pain', 'Sharp chest pain', 'Palpitations', 'Vomiting', 'Weakness', 'Seizures', 'Shortness of breath', 'Nausea', 'Diarrhea', 'Leg cramps or spasms']"
251,Female infertility of unknown cause,"['Infertility', 'Unpredictable menstruation', 'Long menstrual periods', 'Scanty menstrual flow', 'Unwanted hair', 'Absence of menstruation', 'Bleeding or discharge from nipple', 'Loss of sex drive', 'Pain during intercourse', 'Irregular belly button']"
252,Pericarditis,"['Sharp chest pain', 'Shortness of breath', 'Difficulty breathing', 'Chest tightness', 'Sharp abdominal pain', 'Nausea', 'Irregular heartbeat', 'Fainting', 'Palpitations', 'Lower body pain', 'Hurts to breath', 'Lymphedema']"
253,Attention deficit hyperactivity disorder (ADHD),"['Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Hostile behavior', 'Excessive anger', 'Restlessness', 'Temper problems', 'Drug abuse', 'Obsessions and compulsions', 'Low self-esteem', 'Lack of growth', 'Antisocial behavior']"
254,Neuromyelitis optica,"['Painful urination', 'Ache all over', 'Arm pain', 'Loss of sensation', 'Weakness', 'Diminished vision', 'Vulvar sore', 'Excessive growth', 'Knee lump or mass', 'Nailbiting', 'Shoulder swelling', 'Neck cramps or spasms']"
256,Tietze syndrome,"['Sharp chest pain', 'Rib pain', 'Shortness of breath', 'Cough', 'Back pain', 'Chest tightness', 'Side pain', 'Nausea', 'Hurts to breath', 'Difficulty breathing', 'Pain or soreness of breast', 'Loss of sensation']"
257,Cranial nerve palsy,"['Double vision', 'Headache', 'Diminished vision', 'Abnormal involuntary movements', 'Loss of sensation', 'Abnormal movement of eyelid', 'Pupils unequal', 'Pain in eye', 'Facial pain', 'Difficulty speaking', 'Cramps and spasms']"
259,Conversion disorder,"['Seizures', 'Depression', 'Sweating', 'Allergic reaction', 'Weakness', 'Sore throat', 'Anxiety and nervousness', 'Abnormal involuntary movements', 'Fatigue', 'Cough', 'Focal weakness', 'Fainting']"
260,Complex regional pain syndrome,"['Loss of sensation', 'Leg pain', 'Foot or toe pain', 'Paresthesia', 'Back pain', 'Ache all over', 'Arm pain', 'Hand or finger pain', 'Low back pain', 'Neck pain', 'Abnormal involuntary movements', 'Problems with movement']"
261,Otosclerosis,"['Diminished hearing', 'Dizziness', 'Plugged feeling in ear', 'Ear pain', 'Elbow weakness', 'Nailbiting', 'Low back weakness', 'Emotional symptoms', 'Elbow cramps or spasms', 'Underweight', 'Wrist weakness', 'Muscle swelling']"
263,Hypothyroidism,"['Fatigue', 'Weight gain', 'Too little hair', 'Muscle pain', 'Hot flashes', 'Leg cramps or spasms', 'Absence of menstruation', 'Poor circulation', 'Wrist swelling', 'Feeling cold', 'Thirst']"
264,Primary insomnia,"['Insomnia', 'Abnormal breathing sounds', 'Fatigue', 'Apnea', 'Sleepiness', 'Headache', 'Anxiety and nervousness', 'Sleepwalking', 'Seizures', 'Neck pain', 'Abnormal involuntary movements', 'Delusions or hallucinations']"
265,Lice,"['Itchy scalp', 'Skin rash', 'Itching of skin', 'Skin lesion', 'Fever', 'Skin oiliness']"
266,Cobalamin deficiency,"['Fatigue', 'Paresthesia', 'Disturbance of memory', 'Problems with movement', 'Sweating', 'Heartburn', 'Hot flashes', 'Leg cramps or spasms', 'Abnormal appearing tongue', 'Too little hair', 'Knee stiffness or tightness']"
267,Diabetes,"['Weight gain', 'Thirst']"
268,Vulvodynia,"['Pelvic pain', 'Sharp abdominal pain', 'Lower abdominal pain', 'Pain during pregnancy', 'Nausea', 'Back pain', 'Vaginal pain', 'Side pain', 'Vaginal discharge', 'Burning abdominal pain', 'Painful urination', 'Cramps and spasms']"
269,Endometriosis,"['Pelvic pain', 'Sharp abdominal pain', 'Lower abdominal pain', 'Painful menstruation', 'Heavy menstrual flow', 'Burning abdominal pain', 'Infertility', 'Intermenstrual bleeding', 'Hot flashes', 'Absence of menstruation', 'Vaginal pain', 'Chills']"
270,Vasculitis,"['Skin rash', 'Skin lesion', 'Headache', 'Leg pain', 'Dizziness', 'Lymphedema', 'Foot or toe swelling', 'Plugged feeling in ear', 'Skin irritation', 'Swollen tongue', 'Leg lump or mass', 'Leg stiffness or tightness']"
271,Concussion,"['Headache', 'Dizziness', 'Neck pain', 'Vomiting', 'Disturbance of memory', 'Nausea', 'Back pain', 'Facial pain', 'Sleepiness', 'Rib pain', 'Double vision', 'Difficulty speaking']"
272,Oral leukoplakia,"['Tongue lesions', 'Fever', 'Hemoptysis', 'Skin swelling', 'Gum pain', 'Mouth pain', 'Excessive growth', 'Underweight']"
273,Chronic kidney disease,"['Fatigue', 'Shortness of breath', 'Peripheral edema', 'Feeling cold', 'Unusual color or odor to urine']"
274,Bladder disorder,"['Blood in urine', 'Frequent urination', 'Sharp abdominal pain', 'Retention of urine', 'Involuntary urination', 'Suprapubic pain', 'Painful urination', 'Bladder mass', 'Coryza', 'Pelvic pain', 'Lower abdominal pain']"
275,Chorioretinitis,"['Diminished vision', 'Spots or clouds in vision', 'Eye burns or stings', 'Pain in eye', 'Itchiness of eye', 'Double vision', 'Foreign body sensation in eye', 'Muscle swelling']"
276,Priapism,"['Penis pain', 'Painful urination', 'Pain during intercourse', 'Impotence', 'Drug abuse', 'Premature ejaculation', 'Ache all over']"
277,Myositis,"['Leg pain', 'Knee pain', 'Skin rash', 'Back pain', 'Headache', 'Loss of sensation', 'Paresthesia', 'Muscle pain', 'Hip pain', 'Lower body pain', 'Leg weakness', 'Problems with movement']"
278,Mononucleosis,"['Sore throat', 'Fever', 'Headache', 'Swollen lymph nodes', 'Fatigue', 'Ache all over', 'Ear pain', 'Cough', 'Nasal congestion', 'Skin rash', 'Feeling ill', 'Nausea']"
279,Neuralgia,"['Back pain', 'Leg pain', 'Loss of sensation', 'Neck pain', 'Low back pain', 'Ache all over', 'Arm pain', 'Foot or toe pain', 'Headache', 'Hip pain', 'Paresthesia', 'Shoulder pain']"
280,Polycystic kidney disease,"['Side pain', 'Blood in urine', 'Sharp abdominal pain', 'Kidney mass', 'Back pain', 'Low back pain', 'Painful urination', 'Retention of urine', 'Frequent urination', 'Suprapubic pain', 'Skin growth']"
281,Bipolar disorder,"['Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Insomnia', 'Hostile behavior', 'Delusions or hallucinations', 'Abusing alcohol', 'Drug abuse', 'Excessive anger', 'Temper problems', 'Fears and phobias', 'Obsessions and compulsions']"
282,Amyloidosis,"['Shortness of breath', 'Fatigue', 'Anxiety and nervousness', 'Congestion in chest', 'Fever', 'Weakness', 'Abnormal appearing skin', 'Wrist weakness', 'Eye strain', 'Feeling hot and cold']"
283,Chronic inflammatory demyelinating polyneuropathy (CIDP),"['Loss of sensation', 'Weakness', 'Problems with movement', 'Leg weakness', 'Leg cramps or spasms', 'Abnormal involuntary movements', 'Facial pain', 'Fatigue', 'Hand or finger weakness', 'Focal weakness', 'Dizziness', 'Leg pain']"
284,Gastroesophageal reflux disease (GERD),"['Sharp chest pain', 'Sharp abdominal pain', 'Vomiting', 'Heartburn', 'Cough', 'Nausea', 'Burning abdominal pain', 'Upper abdominal pain', 'Difficulty in swallowing', 'Regurgitation', 'Chest tightness', 'Hoarse voice']"
285,Vitreous hemorrhage,"['Diminished vision', 'Spots or clouds in vision', 'Blindness', 'Pain in eye', 'Bleeding from eye', 'Lacrimation']"
288,Scleroderma,"['Skin lesion', 'Skin rash', 'Skin dryness, peeling, scaliness, or roughness', 'Abnormal appearing skin', 'Itching of skin', 'Skin growth', 'Lip swelling', 'Skin irritation', 'Warts', 'Feeling ill', 'Irregular appearing scalp', 'Acne or pimples']"
290,Hypoglycemia,"['Depressive or psychotic symptoms', 'Weakness', 'Dizziness', 'Fainting', 'Nausea', 'Seizures', 'Abnormal involuntary movements', 'Decreased appetite', 'Feeling ill', 'Sweating', 'Sleepiness', 'Problems with movement']"
291,Idiopathic absence of menstruation,"['Absence of menstruation', 'Sharp abdominal pain', 'Unpredictable menstruation', 'Nausea', 'Pelvic pain', 'Long menstrual periods', 'Vaginal discharge', 'Lower abdominal pain', 'Pain or soreness of breast', 'Weight gain', 'Vaginal itching', 'Heartburn']"
292,Dislocation of the ankle,"['Ankle pain', 'Ankle swelling', 'Foot or toe pain', 'Muscle swelling']"
293,Carbon monoxide poisoning,"['Headache', 'Nausea', 'Dizziness', 'Vomiting', 'Diarrhea', 'Depressive or psychotic symptoms', 'Sleepiness', 'Frontal headache', 'Fainting', 'Low back weakness', 'Emotional symptoms']"
294,Panic attack,"['Shortness of breath', 'Dizziness', 'Sharp chest pain', 'Loss of sensation', 'Breathing fast', 'Anxiety and nervousness', 'Fainting', 'Chest tightness', 'Difficulty breathing', 'Irregular heartbeat', 'Headache', 'Weakness']"
295,Plantar fasciitis,"['Foot or toe pain', 'Ankle pain', 'Knee pain', 'Ankle swelling', 'Problems with movement', 'Foot or toe swelling', 'Lower body pain', 'Bones are painful''Foot or toe cramps or spasms', 'Muscle pain']"
298,Pemphigus,"['Skin lesion', 'Skin rash', 'Abnormal appearing skin', 'Itching of skin', 'Skin irritation', 'Irregular appearing scalp', 'Mouth ulcer', 'Peripheral edema', 'Mouth pain']"
299,Peyronie disease,"['Impotence', 'Penis pain', 'Mass in scrotum', 'Frequent urination', 'Sweating', 'Infertility', 'Lower abdominal pain', 'Blood in urine', 'Warts', 'Bumps on penis']"
300,Hiatal hernia,"['Sharp abdominal pain', 'Sharp chest pain', 'Nausea', 'Vomiting', 'Difficulty in swallowing', 'Burning abdominal pain', 'Dizziness', 'Heartburn', 'Back pain', 'Upper abdominal pain', 'Vomiting blood', 'Regurgitation']"
301,Extrapyramidal effect of drugs,"['Abnormal involuntary movements', 'Seizures', 'Anxiety and nervousness', 'Disturbance of memory', 'Nausea', 'Cramps and spasms', 'Problems with movement', 'Headache', 'Delusions or hallucinations', 'Restlessness', 'Neck stiffness or tightness', 'Arm stiffness or tightness']"
302,Meniere disease,"['Dizziness', 'Diminished hearing', 'Ringing in ear', 'Plugged feeling in ear', 'Ear pain', 'Nausea', 'Headache', 'Allergic reaction', 'Facial pain', 'Bleeding from ear']"
303,Anal fissure,"['Rectal bleeding', 'Pain of the anus', 'Blood in stool', 'Constipation', 'Sharp abdominal pain', 'Changes in stool appearance', 'Lower body pain']"
304,Allergy,"['Skin rash', 'Allergic reaction', 'Itching of skin', 'Peripheral edema', 'Abnormal appearing skin', 'Cough', 'Swollen eye', 'Lip swelling', 'Skin swelling', 'Itchiness of eye', 'Fluid retention', 'Swollen tongue']"
305,Chronic otitis media,"['Redness in ear', 'Ear pain', 'Nasal congestion', 'Cough', 'Diminished hearing', 'Fever', 'Fluid in ear', 'Plugged feeling in ear', 'Pulling at ears', 'Allergic reaction', 'Painful sinuses', 'Bleeding from ear']"
306,Fracture of the finger,"['Hand or finger pain', 'Hand or finger swelling', 'Hand or finger stiffness or tightness']"
307,Hirschsprung disease,"['Constipation', 'Vomiting', 'Sharp abdominal pain'', 'Eye strain', 'Feeling hot and cold', 'Nailbiting', 'Low back weakness', 'Underweight']"
308,Polymyalgia rheumatica,"['Fatigue', 'Shoulder pain', 'Leg pain', 'Ache all over', 'Sharp chest pain', 'Muscle pain', 'Hip pain', 'Irregular heartbeat', 'Leg weakness', 'Stiffness all over', 'Temper problems']"
309,Lymphedema,"['Skin lesion', 'Leg swelling', 'Peripheral edema', 'Leg pain', 'Abnormal appearing skin', 'Fluid retention', 'Skin on leg or foot looks infected', 'Lymphedema', 'Foot or toe swelling', 'Skin dryness, peeling, scaliness, or roughness', 'Neck mass', 'Throat swelling']"
310,Bladder cancer,"['Blood in urine', 'Retention of urine', 'Bladder mass', 'Excessive urination at night', 'Groin mass', 'Kidney mass', 'Penis redness', 'Mass in scrotum', 'Penile discharge', 'Pain during intercourse']"
311,Acute bronchospasm,"['Cough', 'Shortness of breath', 'Wheezing', 'Fever', 'Difficulty breathing', 'Nasal congestion', 'Sharp chest pain', 'Sore throat', 'Coryza', 'Vomiting', 'Headache', 'Chest tightness']"
312,Acute glaucoma,"['Diminished vision', 'Pain in eye', 'Eye redness', 'Spots or clouds in vision', 'Foreign body sensation in eye', 'Itchiness of eye', 'Blindness', 'Lacrimation', 'Double vision', 'Eye burns or stings']"
314,Dislocation of the patella,"['Knee pain', 'Knee swelling', 'Knee stiffness or tightness']"
315,Sciatica,"['Leg pain', 'Low back pain', 'Hip pain', 'Lower body pain', 'Loss of sensation', 'Problems with movement', 'Paresthesia', 'Leg weakness', 'Back cramps or spasms', 'Leg cramps or spasms']"
316,Hypercalcemia,"['Weakness', 'Dizziness', 'Loss of sensation', 'Feeling ill', 'Hand or finger weakness', 'Arm cramps or spasms', 'Focal weakness', 'Delusions or hallucinations', 'Leg weakness']"
318,Varicose veins,"['Skin lesion', 'Leg pain', 'Peripheral edema', 'Lymphedema', 'Leg swelling', 'Leg cramps or spasms', 'Skin on leg or foot looks infected', 'Leg lump or mass']"
319,Benign kidney cyst,"['Side pain', 'Sharp abdominal pain', 'Blood in urine', 'Back pain', 'Low back pain', 'Involuntary urination', 'Drainage in throat', 'Impotence']"
320,Hydrocele of the testicle,"['Swelling of scrotum', 'Pain in testicles', 'Groin pain', 'Mass in scrotum', 'Lower abdominal pain', 'Retention of urine', 'Groin mass', 'Excessive urination at night', 'Blood in urine', 'Skin growth', 'Impotence']"
321,Degenerative disc disease,"['Back pain', 'Low back pain', 'Neck pain', 'Hip pain', 'Shoulder pain', 'Ache all over', 'Loss of sensation', 'Arm pain', 'Lower body pain', 'Paresthesia', 'Joint pain']"
322,Hirsutism,"['Unwanted hair', 'Unpredictable menstruation', 'Acne or pimples', 'Fatigue', 'Infertility', 'Abnormal appearing skin', 'Weight gain', 'Skin moles', 'Heavy menstrual flow']"
323,Dislocation of the foot,"['Foot or toe pain', 'Vomiting', 'Ankle pain', 'Knee weakness', 'Muscle swelling']"
324,Hydronephrosis,"['Side pain', 'Sharp abdominal pain', 'Back pain', 'Nausea', 'Vomiting', 'Blood in urine', 'Suprapubic pain', 'Lower abdominal pain', 'Lower body pain', 'Pain in testicles']"
325,Diverticulosis,"['Sharp abdominal pain', 'Rectal bleeding', 'Constipation', 'Diarrhea', 'Blood in stool', 'Burning abdominal pain', 'Nausea', 'Vomiting', 'Lower abdominal pain', 'Melena', 'Upper abdominal pain']"
330,Dermatitis due to sun exposure,"['Abnormal appearing skin', 'Skin lesion', 'Skin rash', 'Skin moles', 'Skin dryness, peeling, scaliness, or roughness', 'Irregular appearing scalp', 'Acne or pimples', 'Skin growth', 'Skin swelling', 'Itchy scalp']"
331,Anemia due to chronic kidney disease,"['Fatigue', 'Weakness', 'Shortness of breath', 'Peripheral edema', 'Recent weight loss', 'Polyuria', 'Feeling cold', 'Melena']"
332,Injury to internal organ,"['Sharp abdominal pain', 'Side pain', 'Sharp chest pain', 'Rib pain', 'Ache all over', 'Back pain', 'Blood in urine', 'Retention of urine', 'Pain of the anus', 'Hurts to breath', 'Lymphedema', 'Frequent urination']"
333,Scleritis,"['Pain in eye', 'Eye redness', 'Lacrimation', 'Spots or clouds in vision', 'Cloudy eye', 'Abnormal appearing skin', 'Foreign body sensation in eye', 'Abnormal involuntary movements']"
334,Pterygium,"['Pain in eye', 'Eye redness', 'Diminished vision', 'Itchiness of eye', 'Lacrimation', 'Foreign body sensation in eye', 'Eye burns or stings', 'Spots or clouds in vision', 'Eyelid swelling']"
335,Fungal infection of the skin,"['Skin rash', 'Itching of skin', 'Abnormal appearing skin', 'Skin lesion', 'Irregular appearing scalp', 'Skin swelling', 'Too little hair', 'Skin dryness, peeling, scaliness, or roughness', 'Itchy scalp', 'Dry or flaky scalp', 'Acne or pimples', 'Irregular appearing nails']"
336,Insulin overdose,"['Diarrhea', 'Weakness', 'Depressive or psychotic symptoms', 'Underweight', 'Nailbiting', 'Emotional symptoms', 'Feeling hot and cold', 'Low back weakness', 'Excessive growth']"
338,Foreign body in the ear,"['Ear pain', 'Diminished hearing', 'Bleeding from ear', 'Fluid in ear']"
340,Orbital cellulitis,"['Swollen eye', 'Eye redness', 'Pain in eye', 'Fever', 'Eyelid swelling', 'Peripheral edema', 'Itching of skin', 'Diminished vision', 'Facial pain']"
342,Hepatic encephalopathy,"['Depressive or psychotic symptoms', 'Sharp abdominal pain', 'Shortness of breath', 'Peripheral edema', 'Fainting', 'Weakness', 'Fatigue', 'Drug abuse', 'Problems with movement', 'Seizures', 'Abusing alcohol', 'Fluid retention']"
343,Bone cancer,"['Low back pain', 'Ache all over', 'Back pain', 'Leg pain', 'Fatigue', 'Peripheral edema', 'Rib pain', 'Problems with movement', 'Joint pain', 'Arm lump or mass', 'Muscle pain']"
346,Syringomyelia,"['Back pain', 'Shoulder pain', 'Neck pain', 'Side pain']"
347,Pulmonary fibrosis,"['Shortness of breath', 'Cough', 'Sharp chest pain', 'Difficulty breathing', 'Fever', 'Fainting', 'Coughing up sputum', 'Chest tightness', 'Hemoptysis', 'Hurts to breath', 'Palpitations']"
348,Mitral valve disease,"['Sharp chest pain', 'Palpitations', 'Shortness of breath', 'Fatigue', 'Dizziness', 'Chest tightness', 'Increased heart rate', 'Irregular heartbeat', 'Weight gain', 'Sweating']"
349,Parkinson disease,"['Abnormal involuntary movements', 'Problems with movement', 'Disturbance of memory', 'Dizziness', 'Weakness', 'Stiffness all over', 'Leg weakness', 'Focal weakness', 'Muscle stiffness or tightness', 'Difficulty speaking', 'Leg stiffness or tightness', 'Fears and phobias']"
350,Gout,"['Foot or toe pain', 'Knee pain', 'Foot or toe swelling', 'Ankle pain', 'Wrist pain', 'Hand or finger pain', 'Hand or finger swelling', 'Joint pain', 'Ankle swelling', 'Knee swelling', 'Leg swelling', 'Wrist swelling']"
351,Otitis media,"['Ear pain', 'Fever', 'Redness in ear', 'Pulling at ears', 'Coryza', 'Fluid in ear', 'Diminished hearing', 'Plugged feeling in ear']"
352,Drug abuse (opioids),"['Drug abuse', 'Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Abusing alcohol', 'Insomnia', 'Delusions or hallucinations', 'Excessive anger', 'Temper problems', 'Antisocial behavior', 'Low self-esteem', 'Restlessness']"
354,Fracture of the shoulder,"['Shoulder pain', 'Arm pain', 'Bones are painful', 'Arm stiffness or tightness', 'Shoulder swelling', 'Fluid retention', 'Shoulder stiffness or tightness', 'Arm weakness', 'Stiffness all over', 'Neck swelling']"
355,Acute kidney injury,"['Weakness', 'Vomiting', 'Dizziness', 'Nausea', 'Sharp abdominal pain', 'Kidney mass', 'Peripheral edema', 'Blood in urine', 'Retention of urine']"
357,Intracranial abscess,"['Seizures', 'Fever', 'Back pain', 'Headache', 'Depressive or psychotic symptoms', 'Fatigue', 'Neck pain', 'Weakness', 'Slurring words']"
358,Gum disease,"['Toothache', 'Gum pain', 'Facial pain', 'Fever', 'Mouth ulcer', 'Mouth pain', 'Bleeding gums', 'Pain in gums', 'Lip swelling', 'Jaw swelling']"
360,Gastrointestinal hemorrhage,"['Blood in stool', 'Rectal bleeding', 'Sharp abdominal pain', 'Melena', 'Vomiting', 'Diarrhea', 'Vomiting blood', 'Changes in stool appearance', 'Weakness', 'Nausea', 'Dizziness', 'Fainting']"
361,Seborrheic dermatitis,"['Skin rash', 'Skin dryness, peeling, scaliness, or roughness', 'Abnormal appearing skin', 'Itching of skin', 'Irregular appearing scalp', 'Dry or flaky scalp', 'Itchy scalp', 'Skin lesion', 'Too little hair', 'Skin growth']"
362,Drug abuse (methamphetamine),"['Drug abuse', 'Depressive or psychotic symptoms', 'Anxiety and nervousness', 'Depression', 'Shortness of breath', 'Delusions or hallucinations', 'Fears and phobias', 'Hostile behavior', 'Abusing alcohol', 'Palpitations', 'Feeling ill']"
363,Torticollis,"['Neck pain', 'Neck stiffness or tightness', 'Headache', 'Neck cramps or spasms', 'Shoulder pain', 'Back pain', 'Arm pain', 'Abnormal involuntary movements', 'Shoulder lump or mass']"
364,Poisoning due to antihypertensives,"['Depressive or psychotic symptoms', 'Dizziness', 'Itching of skin', 'Skin rash', 'Weakness', 'Diarrhea', 'Nausea', 'Swollen tongue', 'Focal weakness', 'Sharp abdominal pain', 'Feeling hot', 'Allergic reaction']"
365,Tension headache,"['Headache', 'Neck pain', 'Nausea', 'Dizziness', 'Anxiety and nervousness', 'Chills']"
366,Alcohol intoxication,"['Abusing alcohol', 'Depressive or psychotic symptoms', 'Vomiting', 'Depression', 'Sharp abdominal pain', 'Sharp chest pain', 'Anxiety and nervousness', 'Nausea', 'Fainting', 'Abnormal involuntary movements', 'Delusions or hallucinations', 'Problems with movement']"
367,Scurvy,"['Sharp abdominal pain', 'Neck cramps or spasms', 'Shoulder swelling', 'Eye strain', 'Joint stiffness or tightness']"
368,Narcolepsy,"['Sleepiness', 'Fatigue', 'Apnea', 'Headache', 'Abnormal involuntary movements', 'Shortness of breath', 'Abnormal breathing sounds', 'Insomnia', 'Weight gain', 'Temper problems', 'Disturbance of memory', 'Delusions or hallucinations']"
113,Food allergy,"['Allergic reaction', 'Skin rash', 'Itching of skin', 'Nasal congestion', 'Vomiting', 'Wheezing', 'Cough', 'Abnormal appearing skin', 'Lip swelling', 'Sneezing', 'Hand or finger swelling']"
114,Labyrinthitis,"['Dizziness', 'Nausea', 'Vomiting', 'Headache', 'Weakness', 'Ear pain', 'Loss of sensation', 'Diminished hearing', 'Ringing in ear', 'Plugged feeling in ear']"
115,Anxiety,"['Anxiety and nervousness', 'Depression', 'Sharp chest pain', 'Depressive or psychotic symptoms', 'Shortness of breath', 'Headache', 'Insomnia', 'Palpitations', 'Abnormal involuntary movements', 'Irregular heartbeat', 'Fears and phobias', 'Increased heart rate']"
117,Stenosis of the tear duct,"['Lacrimation', 'Eye redness', 'Abnormal movement of eyelid', 'Eye burns or stings', 'Eyelid swelling', 'White discharge from eye']"
118,Abscess of nose,"['Nasal congestion', 'Cough', 'Fever', 'Coryza', 'Sore throat', 'Sinus congestion', 'Ear pain', 'Vomiting', 'Headache', 'Abnormal breathing sounds', 'Decreased appetite']"
120,Leukemia,"['Fatigue', 'Fever', 'Mouth pain', 'Pallor', 'Muscle stiffness or tightness', 'Bleeding gums']"
121,Bell palsy,"['Focal weakness', 'Loss of sensation', 'Headache', 'Facial pain', 'Weakness', 'Paresthesia', 'Diminished vision', 'Eyelid lesion or rash', 'Abnormal involuntary movements']"
122,Conjunctivitis due to allergy,"['Eye redness', 'Itchiness of eye', 'Pain in eye', 'Lacrimation', 'Swollen eye', 'Eye burns or stings', 'Diminished vision', 'Allergic reaction']"
123,Drug reaction,"['Skin rash', 'Allergic reaction', 'Itching of skin', 'Dizziness', 'Lip swelling', 'Nausea', 'Shortness of breath', 'Headache', 'Vomiting', 'Abnormal appearing skin', 'Throat swelling']"
126,Osteoarthritis,"['Knee pain', 'Hip pain', 'Shoulder pain', 'Back pain', 'Leg pain', 'Hand or finger pain', 'Joint pain', 'Knee swelling', 'Ankle pain', 'Elbow pain', 'Muscle pain', 'Knee weakness']"
128,Pharyngitis,"['Cough', 'Fever', 'Sore throat', 'Wheezing', 'Difficulty in swallowing', 'Hoarse voice', 'Coryza', 'Hurts to breath', 'Nasal congestion']"
129,Chronic rheumatic fever,"['Shortness of breath', 'Sharp chest pain', 'Palpitations', 'Difficulty breathing', 'Dizziness', 'Chest tightness', 'Increased heart rate', 'Drainage in throat', 'Restlessness', 'Throat feels tight', 'Fluid in ear']"
130,Hypocalcemia,"['Shortness of breath', 'Sharp abdominal pain', 'Loss of sensation', 'Seizures', 'Weakness', 'Paresthesia', 'Sharp chest pain', 'Constipation', 'Abnormal involuntary movements', 'Diarrhea', 'Nausea', 'Leg weakness']"
131,Macular degeneration,"['Diminished vision', 'Spots or clouds in vision', 'Pain in eye', 'Lacrimation', 'Blindness', 'Itchiness of eye', 'Foreign body sensation in eye', 'Double vision', 'Eye burns or stings', 'Bleeding from eye', 'Abnormal movement of eyelid']"
132,Pneumonia,"['Cough', 'Fever', 'Shortness of breath', 'Sharp chest pain', 'Nasal congestion', 'Difficulty breathing', 'Vomiting', 'Weakness', 'Sore throat', 'Wheezing', 'Coryza', 'Chills']"
133,Cold sore,"['Skin rash', 'Lip sore', 'Mouth ulcer', 'Fever', 'Lip swelling', 'Skin lesion', 'Sore throat', 'Itching of skin', 'Skin swelling']"
134,Premature ventricular contractions (PVCs),"['Palpitations', 'Irregular heartbeat', 'Sharp chest pain', 'Fainting', 'Shortness of breath', 'Increased heart rate', 'Difficulty breathing', 'Chest tightness', 'Sleepiness', 'Apnea']"
136,Testicular cancer,"['Mass in scrotum', 'Anxiety and nervousness', 'Ache all over', 'Nausea', 'Groin pain', 'Blood in urine', 'Chills', 'Diminished hearing', 'Pain in testicles', 'Painful urination']"
137,Hydrocephalus,"['Headache', 'Seizures', 'Vomiting', 'Depressive or psychotic symptoms', 'Problems with movement', 'Difficulty speaking', 'Paresthesia', 'Focal weakness', 'Disturbance of memory', 'Abnormal involuntary movements']"
138,Breast cancer,"['Lump or mass of breast', 'Pain or soreness of breast', 'Hot flashes', 'Bleeding or discharge from nipple', 'Joint stiffness or tightness']"
139,Anemia due to malignancy,"['Fatigue', 'Shortness of breath', 'Difficulty in swallowing', 'Pain of the anus', 'Nosebleed', 'Mouth pain', 'Hot flashes', 'Flatulence']"
140,Esophageal varices,"['Burning abdominal pain', 'Nausea', 'Changes in stool appearance', 'Dizziness', 'Weakness', 'Lower abdominal pain', 'Sharp abdominal pain', 'Difficulty in swallowing', 'Melena', 'Itching of skin', 'Pain of the anus', 'Decreased appetite']"
141,Endometrial cancer,"['Vaginal bleeding after menopause', 'Intermenstrual bleeding', 'Pelvic pain', 'Hot flashes', 'Long menstrual periods', 'Vaginal discharge', 'Vaginal itching', 'Cramps and spasms', 'Unpredictable menstruation', 'Infrequent menstruation', 'Mass on vulva', 'Absence of menstruation']"
142,Cystic Fibrosis,"['Cough', 'Feeling ill', 'Decreased appetite', 'Intermenstrual bleeding', 'Hemoptysis', 'Sinus congestion', 'Drainage in throat', 'Muscle pain']"
143,Intertrigo (skin condition),"['Skin rash', 'Abnormal appearing skin', 'Skin dryness, peeling, scaliness, or roughness', 'Skin swelling', 'Skin irritation', 'Skin lesion', 'Itching of skin', 'Skin growth', 'Skin moles']"
144,Parathyroid adenoma,"['Shoulder pain', 'Weakness', 'Anxiety and nervousness', 'Disturbance of memory', 'Fluid retention', 'Flu-like syndrome', 'Throat feels tight', 'Weight gain', 'Tongue lesions', 'Difficulty in swallowing']"
145,Glucocorticoid deficiency,"['Shortness of breath', 'Weakness', 'Diarrhea', 'Problems with movement', 'Side pain', 'Muscle cramps, contractures, or spasms', 'Drug abuse', 'Rib pain', 'Feeling ill', 'Apnea']"
146,Temporomandibular joint disorder,"['Facial pain', 'Ear pain', 'Headache', 'Neck pain', 'Nasal congestion', 'Sore throat', 'Toothache', 'Ringing in ear', 'Diminished hearing', 'Pain in eye', 'Jaw pain', 'Redness in ear']"
